sample	Basal	Her2	LumA	LumB	Normal	Call	Confidence	ROR-S (Subtype Only)	ROR-S Group (Subtype Only)	Proliferation Score	ROR-P (Subtype + Proliferation)	ROR-P Group (Subtype + Proliferation)	ER	Her2_1
GBX.DISC.PCA1	-0.0792797118847539	-0.210084033613445	0.25483793517407	-0.297478991596639	0.269339735894358	LumA	0.94	22.1642373953817	low	-0.0709435892823589	32.0689900873557	med	-0.842277905543684	-0.752877938567286
GBX.DISC.PCA10	-0.0220408163265306	0.116542617046819	-0.118367346938776	0.10031212484994	0.028187274909964002	LumB	0.58	49.3607505679542	med	0.125821658228456	49.0463188537241	med	0.573682295068449	-2.15989455176826
GBX.DISC.PCA100	-0.127490996398559	-0.251572629051621	0.305738295318127	-0.185882352941176	0.235822328931573	LumA	0.97	21.0729871632229	low	-0.504393172492915	14.552384877014	med	-0.6263844221632	0.267082324369535
GBX.DISC.PCA101	-0.040672268907563	0.0719807923169268	0.0174309723889556	0.0906122448979592	-0.00292917166866747	LumB	0.47	42.8233521908905	med	0.402480744439858	58.12687398296	high	-1.09734379926794	0.142617354945394
GBX.DISC.PCA102	0.0548859543817527	-0.263961584633854	0.195486194477791	-0.013781512605042	0.169651860744298	LumA	0.83	29.2427546846127	med	-0.445987462511423	18.9908842876938	med	1.79902131625213	-1.47644299780086
GBX.DISC.PCA103	0.108667466986795	0.205858343337335	-0.230252100840336	0.0351020408163265	-0.14391356542617	Basal	0.85	54.8657781135796	high	0.317308342930392	58.2592606731802	high	0.15911461694627901	-1.23832412948779
GBX.DISC.PCA104	-0.363841536614646	-0.0155102040816327	0.303145258103241	0.130276110444178	-0.0499879951980792	LumA	0.97	28.7587648810677	med	-0.43736331947921	21.0348897763487	med	0.462450325024194	1.14988792965835
GBX.DISC.PCA105	0.066890756302521	-0.0736134453781513	-0.134117647058824	-0.0327010804321729	-0.0186794717887155	Basal	0.36	45.4409524211567	med	0.603807793616987	65.9276692895891	high	-0.198419971649996	-0.260720649126257
GBX.DISC.PCA106	0.0134933973589436	-0.0436494597839136	-0.0355822328931573	-0.178199279711885	0.0586314525810324	Basal	0.31	39.0983504034461	med	-0.289148141798652	28.6679281641428	med	-0.919832617511135	0.119601133887354
GBX.DISC.PCA107	0.0453781512605042	0.16984393757503	-0.184825930372149	0.210756302521008	-0.269339735894358	LumB	0.86	55.0781987411623	high	0.202971635084228	53.9307088229481	high	0.439900182928999	0.577374915609213
